,glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,glycan_type,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition
29631,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GalNAc(?1-?)GlcNAc(?1-?)[Gal(b1-?)GlcNAc(b1-?)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G34528KI,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 8, 'dHex': 2}"
29632,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GalNAc(?1-?)GlcNAc(?1-?)[Gal(b1-?)GlcNAc(b1-?)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G52962CA,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 9, 'dHex': 1}"
29633,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GalNAc(?1-?)GlcNAc(?1-?)[Gal(b1-?)GlcNAc(b1-?)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G54830LH,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 9, 'dHex': 2}"
29634,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)Gal,[],[],[],[],[],[],[],[],[],G33252WS,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 3, 'HexNAc': 2, 'dHex': 1}"
29635,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)Gal(?1-?)Glc,[],[],[],[],[],[],[],[],[],G98213XU,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 2, 'dHex': 1}"
29636,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,[],[],[],[],[],[],[],[],[],G27890BG,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 4, 'dHex': 1}"
29637,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc,[],[],[],[],[],[],[],[],[],G42875FN,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 3, 'HexNAc': 3, 'dHex': 2}"
29638,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Neu5Ac(a2-3/6)Gal(b1-3)]GalNAc,[],[],[],[],[],[],[],[],[],G52236QQ,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 4, 'Neu5Ac': 1, 'dHex': 2}"
29639,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-4)Glc-ol,[],[],[],[],[],[],[],[],[],G61713UA,free,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 2, 'dHex': 1}"
29640,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-?)GlcNAc(b1-6)[Neu5Ac(a2-3/6)Gal(b1-3)]GalNAc,[],[],[],[],[],[],[],[],[],G52764DM,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 4, 'Neu5Ac': 1, 'dHex': 1}"
29641,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-?)GlcNAc(b1-?)Gal(?1-?)Glc,[],[],[],[],[],[],[],[],[],G97112CD,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 5, 'HexNAc': 3, 'dHex': 1}"
29642,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,[],[],[],[],[],[],[],[],[],G01584VI,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 3, 'HexNAc': 3, 'dHex': 1}"
29643,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc,[],[],[],[],[],[],[],[],[],G60897WU,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 2, 'HexNAc': 2, 'dHex': 2}"
29644,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-?)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G40241OL,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 6, 'dHex': 5}"
29645,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(?1-?)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G85922RK,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 6, 'dHex': 4}"
29646,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G53977IC,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 5, 'dHex': 2}"
29647,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G01465MJ,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 5, 'Neu5Ac': 1, 'dHex': 2}"
29648,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G19934BY,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 5, 'Neu5Ac': 1, 'dHex': 3}"
29649,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G24326QI,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 6, 'dHex': 5}"
29650,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G98845PS,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 8, 'HexNAc': 8, 'dHex': 6}"
29651,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)]Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G53993IK,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 8, 'HexNAc': 7, 'dHex': 4}"
29652,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G01231VF,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 7, 'HexNAc': 6, 'dHex': 4}"
29653,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[Gal(b1-3/4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3/6)]GlcNAc,[],[],[],[],[],[],[],[],[],G19326ST,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 9, 'HexNAc': 8, 'dHex': 3}"
29654,Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GalNAc(?1-?)GlcNAc(?1-?)[Gal(b1-?)GlcNAc(b1-?)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,[],[],[],[],[],[],[],[],[],G32896PR,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 8, 'dHex': 2}"
