,feature,mz,tier,consensus,max_abs_d,norm_d,norm_lasso,lasso_sel,n_contrasts
55,FT-237,1034.9881000850553,Tier 2 - Supporting markers,0.08714081617524615,2.6187966852580398,0.1742816323504923,0.0,False,3
56,FT-057,1179.2722036799555,Tier 2 - Supporting markers,0.08695446905187983,2.6144725817883283,0.17390893810375965,0.0,False,3
57,FT-080,1077.2019763854523,Tier 2 - Supporting markers,0.08694377182773566,2.614224357382164,0.17388754365547132,0.0,False,2
58,FT-227,815.5263145478614,Tier 2 - Supporting markers,0.08670369191059858,2.608653407941427,0.17340738382119716,0.0,False,3
59,FT-182,1026.1932694786867,Tier 2 - Supporting markers,0.0863640897631978,2.600773088689005,0.1727281795263956,0.0,False,3
60,FT-194,1106.736189796707,Tier 2 - Supporting markers,0.08577785675474076,2.5871698082082792,0.1715557135094815,0.0,False,3
61,FT-074,1178.7694962544108,Tier 2 - Supporting markers,0.08497614311288457,2.568566393903619,0.16995228622576913,0.0,False,3
62,FT-178,1455.998949997305,Tier 2 - Supporting markers,0.08383787238934154,2.5421533197641937,0.16767574477868308,0.0,False,2
63,FT-062,1078.713769906068,Tier 2 - Supporting markers,0.08272916438864718,2.5164262356746,0.16545832877729436,0.0,False,3
64,FT-242,1083.0169631809986,Tier 2 - Supporting markers,0.082607195593093,2.513596003135858,0.165214391186186,0.0,False,3
65,FT-112,1295.833757739158,Tier 2 - Supporting markers,0.08116073480465788,2.4800315133756463,0.16232146960931576,0.0,False,2
66,FT-058,1078.208562682587,Tier 2 - Supporting markers,0.07879709530619405,2.4251842929205036,0.1575941906123881,0.0,False,2
67,FT-102,1295.3371125063638,Tier 2 - Supporting markers,0.07854150177550764,2.4192533568646555,0.1570830035510153,0.0,False,2
68,FT-233,1179.778005634704,Tier 2 - Supporting markers,0.0761532012123848,2.3638338871934663,0.1523064024247696,0.0,False,3
69,FT-056,1178.2689676482953,Tier 2 - Supporting markers,0.07541723107374095,2.3467560221176647,0.1508344621474819,0.0,False,2
70,FT-226,815.1931200400654,Tier 2 - Supporting markers,0.07337054176883705,2.2992634922364354,0.1467410835376741,0.0,False,2
71,FT-095,1296.8385481999308,Tier 2 - Supporting markers,0.06896122732370528,2.196947279639141,0.13792245464741057,0.0,False,2
72,FT-055,1105.7327676680493,Tier 2 - Supporting markers,0.06869384966224691,2.1907428979843586,0.13738769932449382,0.0,False,3
73,FT-110,1397.397689304656,Tier 2 - Supporting markers,0.06847606372127815,2.1856892705068574,0.1369521274425563,0.0,False,2
74,FT-076,1076.70024884105,Tier 2 - Supporting markers,0.06365774463683874,2.0738822841964555,0.12731548927367747,0.0,False,2
75,FT-195,1077.708774786632,Tier 2 - Supporting markers,0.05918744928341535,1.9701510363017736,0.1183748985668307,0.0,False,2
76,FT-148,1633.0433891731236,Tier 2 - Supporting markers,0.057589392357663985,1.933068824499374,0.11517878471532797,0.0,False,3
77,FT-040,1024.6859401518484,Tier 2 - Supporting markers,0.056874933012154204,1.916490107967145,0.11374986602430841,0.0,False,3
78,FT-177,1372.9222666552944,Tier 3 - Exploratory candidates,0.05672719340618208,1.9130618750475414,0.11345438681236417,0.0,False,1
79,FT-200,1039.6606356714726,Tier 2 - Supporting markers,0.056314108500702925,1.9034764205430657,0.11262821700140585,0.0,False,3
80,FT-051,1069.2050570468462,Tier 2 - Supporting markers,0.05053928860338439,1.7694742513447488,0.10107857720676879,0.0,False,2
81,FT-118,1560.0017940800249,Tier 2 - Supporting markers,0.0503817389950092,1.7658183816113178,0.1007634779900184,0.0,False,2
82,FT-196,1079.2166019688184,Tier 2 - Supporting markers,0.05000240897954942,1.7570161945617713,0.10000481795909884,0.0,False,2
83,FT-214,1560.5106879252833,Tier 2 - Supporting markers,0.04709811762106056,1.6896233842332369,0.09419623524212112,0.0,False,2
84,FT-075,1076.704086348371,Tier 2 - Supporting markers,0.046930609667941894,1.6857364354668702,0.09386121933588379,0.0,False,2
85,FT-191,996.1601236401428,Tier 2 - Supporting markers,0.046631143788900854,1.6787874607618734,0.09326228757780171,0.0,False,2
86,FT-060,1251.815294797806,Tier 2 - Supporting markers,0.04643451484810901,1.6742247722171604,0.09286902969621802,0.0,False,2
87,FT-083,1224.8042649657891,Tier 2 - Supporting markers,0.04632684652255157,1.67172637582815,0.09265369304510314,0.0,False,2
88,FT-072,1252.819559504331,Tier 2 - Supporting markers,0.04498548109232828,1.640600577875383,0.08997096218465656,0.0,False,2
89,FT-091,1251.314808260303,Tier 2 - Supporting markers,0.03946468420255224,1.512492901430473,0.07892936840510448,0.0,False,2
90,FT-241,1083.3479141235127,Tier 2 - Supporting markers,0.035927159697268084,1.4304061929739216,0.07185431939453617,0.0,False,3
91,FT-085,1224.2975971419808,Tier 2 - Supporting markers,0.03523218607698269,1.4142796341704007,0.07046437215396538,0.0,False,2
92,FT-078,1077.205728818574,Tier 2 - Supporting markers,0.034966693162769985,1.4081189872508657,0.06993338632553997,0.0,False,2
93,FT-144,1632.5484775521786,Tier 2 - Supporting markers,0.034560084687978235,1.3986838154870131,0.06912016937595647,0.0,False,2
94,FT-129,1559.499840726536,Tier 2 - Supporting markers,0.0342860568833033,1.3923251201683686,0.0685721137666066,0.0,False,2
95,FT-134,1088.3568018363508,Tier 2 - Supporting markers,0.034079795371741994,1.387538912033259,0.06815959074348399,0.0,False,2
96,FT-192,1068.7037715820934,Tier 2 - Supporting markers,0.0326493667078128,1.3543464407080552,0.0652987334156256,0.0,False,2
