feature,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,qc_cv_pct,d_ratio_pct,drift_r2,det_Dunn,det_French,det_LMU
FT-189,931.123020951668,931.1758625779664,931.0750071035604,0.0263774599815897,1117.150900959169,1132.9164165454893,1119.9402594800786,1114.513782416522,1107.106961260784,1.384524676638368,0.9991479984301815,60.36926165610254,0.19516324655812273,1.0,1.0,1.0
FT-075,1076.704086348371,1076.7659052150043,1076.6508631728868,0.0303673983692482,1165.0016465840235,1176.4046223958326,1167.1510336308895,1162.5396325060522,1152.5668176015192,1.1153635458279254,1.3862800654773142,98.57148944138531,0.18479409105048777,1.0,1.0,1.0
FT-005,886.6324598613013,886.683374655879,886.5806672354295,0.0260289685536768,609.4612894305731,638.0671635917994,612.0676440481267,606.7118780336342,593.3752149084339,1.2871308303822482,1.3444508931914254,53.2942801526051,0.17520433226150442,1.0,1.0,1.0
FT-016,870.5947196667247,870.6445532838661,870.5511700239324,0.0252234482417843,967.2980513141862,982.65905206854,969.9481957866528,964.4931277655786,954.9833971803866,1.317019050732212,1.1857090080272106,33.85587799718118,0.17470690111889464,1.0,1.0,1.0
FT-168,1336.3262451050714,1336.405389862383,1336.2566589899025,0.0391003658010661,1551.2877356272045,1571.0304137199175,1553.9989897891342,1548.747391469725,1537.806266046342,1.2870543607151437,1.6856549057603027,41.55986855671349,0.17136647161029603,1.0,1.0,1.0
FT-186,931.6243046494036,931.6784901191336,931.5809314937704,0.0274414767123745,1102.186769188893,1106.829634834741,1104.5947650644134,1099.0703438301748,1094.5528271619044,1.4732397071044796,4.234914431557488,22.42443144679853,0.1558737469755272,1.0,0.8461538461538461,1.0
FT-231,1617.0940780665944,1617.1847382877168,1616.99771246037,0.0467831616732671,1121.0916356070506,1137.366105013117,1123.9482234616291,1118.300088291527,1106.5071899946356,1.4566489118648474,4.266860986104607,53.77069470492767,0.15308336739601933,1.0,1.0,1.0
FT-065,1149.7477835102598,1149.8144632764945,1149.685681984192,0.0325078453702678,1279.935188473766,1290.790366661261,1282.5930344589017,1277.339259704826,1271.8166430403594,1.2261011409371214,2.4493838874973024,59.893395756602615,0.15151037875237644,1.0,1.0,1.0
FT-227,815.5263145478614,815.5720124399368,815.4833781251697,0.0234497161485411,1257.9480855586548,1270.610866815275,1259.5108106778086,1255.372326819194,1246.8639153493934,1.1653434695229583,1.6000346439808202,89.57533162574089,0.1442265996711414,1.0,1.0,1.0
FT-040,1024.6859401518484,1024.745883352035,1024.635571164931,0.0299810881909713,1107.6170160866384,1125.2454211495194,1110.1572639572094,1104.5491052697555,1102.7951743386006,1.4042236421118546,1.5499919244606537,90.04719389187282,0.14358613666327177,1.0,1.0,1.0
